592205,0
2660030,1
2021989,2
2550387,3
903913,4
1151866,5
1604815,6
1272071,7
1084534,8
4227153,9
4166676,10
86801,11
3129740,12
3240672,13
4225887,14
3022456,15
2965449,16
3458589,17
1565617,18
633675,19
486025,20
4499290,21
2707971,22
692505,23
2167118,24
1454092,25
1072229,26
2943327,27
976257,28
4321623,29
494116,30
2131294,31
798840,32
1514943,33
2117739,34
143193,35
1309022,36
3922780,37
2020832,38
3665606,39
1468622,40
1567283,41
3792911,42
4124098,43
1798728,44
4432807,45
3391339,46
2209447,47
1638389,48
4499767,49
213841,50
2933351,51
4140111,52
251350,53
1126746,54
272304,55
759007,56
2426818,57
108010,58
3947776,59
1694424,60
154053,61
188102,62
3549725,63
1050665,64
1822533,65
1130570,66
745292,67
2964858,68
417446,69
1654629,70
3156400,71
4460471,72
4151211,73
1156891,74
38588,75
4176256,76
4179000,77
3994077,78
4499478,79
4012841,80
8150,81
3640869,82
805121,83
3466544,84
3759252,85
233650,86
117887,87
3731273,88
321749,89
3632693,90
1922515,91
360696,92
453061,93
2735573,94
2969837,95
769358,96
1713581,97
2614447,98
4244870,99
4264412,100
46678,101
1838313,102
2331081,103
4210142,104
2325779,105
972718,106
792524,107
3584690,108
3405007,109
3930757,110
3275018,111
2650985,112
778160,113
3941800,114
2087356,115
1087839,116
3198563,117
3567561,118
2076438,119
177543,120
221785,121
624061,122
2111897,123
3787103,124
899332,125
1269594,126
2245805,127
1154263,128
2788092,129
675557,130
3244986,131
4501345,132
3972474,133
3328995,134
1380541,135
3183935,136
3734460,137
478622,138
447781,139
2245760,140
4252882,141
3869555,142
777215,143
654490,144
503870,145
3622183,146
4007215,147
3107718,148
1279904,149
2063908,150
2865278,151
1675161,152
2603154,153
21641,154
4344010,155
137487,156
542163,157
584314,158
3267126,159
1443376,160
1508044,161
683856,162
38045,163
2811951,164
3334817,165
157077,166
4511250,167
1159066,168
1982056,169
508447,170
1881602,171
4077859,172
910951,173
3473801,174
3839614,175
2041224,176
4263685,177
3456931,178
321470,179
234916,180
2144665,181
1746872,182
3305243,183
2924143,184
1065754,185
3042528,186
33048,187
1241799,188
2249103,189
4569756,190
3818556,191
249168,192
2846960,193
420011,194
3669898,195
1385959,196
604369,197
1895683,198
3364357,199
297403,200
22459,201
4533585,202
907741,203
265439,204
1883060,205
212162,206
3026440,207
799173,208
589683,209
3964402,210
